参数名称,Model Y 2024款 后轮驱动版,Model Y 2024款 长续航全轮驱动版,Model Y 2024款 Performance 高性能全轮驱动版
官方指导价,24.99万,29.09万,35.49万
厂商,特斯拉中国,特斯拉中国,特斯拉中国
级别,中型SUV,中型SUV,中型SUV
能源类型,纯电动,纯电动,纯电动
上市时间,2024.02,2024.02,2024.02
电动机,纯电动 299马力,纯电动 450马力,纯电动 486马力
纯电续航里程(km)工信部,554,688,615
纯电续航里程(km)CLTC,554,688,615
充电时间(小时),"快充1小时
慢充10小时","快充1小时
慢充10小时","快充1小时
慢充10小时"
快充电量(%),20-80,20-80,20-80
最大功率(kW),220(299Ps),331(450Ps),357(486Ps)
最大扭矩(N·m),440,559,659
变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
长x宽x高(mm),4750x1921x1624,4750x1921x1624,4750x1921x1624
车身结构,5门5座SUV,5门5座SUV,5门5座SUV
最高车速(km/h),217,217,250
官方百公里加速时间(s),5.9,5,3.7
百公里耗电量(kWh/100km),13kWh,13.4kWh,14.4kWh
电能当量燃料消耗量(L/100km),1.47,1.52,1.63
整车保修期限,4年或8万公里,4年或8万公里,4年或8万公里
长(mm),4750,4750,4750
宽(mm),1921,1921,1921
高(mm),1624,1624,1624
轴距(mm),2890,2890,2890
前轮距(mm),1636,1636,1646
后轮距(mm),1636,1636,1630
车身结构,SUV,SUV,SUV
车门数(个),5,5,5
车门开启方式,平开门,平开门,平开门
座位数(个),5,5,5
整备质量(kg),1911,1981,1998
满载质量(kg),2319,2389,2403
行李舱容积(L),971-2158,971-2158,971-2158
风阻系数(Cd),0.23,0.23,
电动机描述,纯电动 299马力,纯电动 450马力,纯电动 486马力
电机类型,永磁/同步,前感应/异步后永磁/同步,前感应/异步后永磁/同步
电动机总功率(kW),220,331,357
电动机总马力(Ps),299,450,486
电动机总扭矩(N·m),440,559,659
前电动机最大功率(kW),,137,137
前电动机最大扭矩(N·m),,219,219
后电动机最大功率(kW),220,194,220
后电动机最大扭矩(N·m),440,340,440
驱动电机数,单电机,双电机,双电机
电机布局,后置,前置+后置,前置+后置
电池类型,磷酸铁锂电池,三元锂电池,三元锂电池
电芯品牌,宁德时代,LG,LG
电池组质保,8年或16万公里,8年或19.2万公里,8年或19.2万公里
电池容量(kWh),60,78.4,78.4
电池能量密度(Wh/kg),126.0,168.0,168.0
电池充电,"快充1小时
慢充10小时","快充1小时
慢充10小时","快充1小时
慢充10小时"
电池充电,●快充接口,●快充接口,●快充接口
快充接口位置,后尾灯左侧面,后尾灯左侧面,后尾灯左侧面
慢充接口位置,后尾灯左侧面,后尾灯左侧面,后尾灯左侧面
电池温度管理系统,●低温加热,●低温加热,●低温加热
电池温度管理系统,●液态冷却,●液态冷却,●液态冷却
单踏板模式,●标配,●标配,●标配
品牌自营充电站,●标配,●标配,●标配
VTOL移动电站功能,,,
变速箱描述,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
挡位数,1,1,1
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
驱动方式,后置后驱,双电机四驱,双电机四驱
四驱类型,,电动四驱,电动四驱
前悬挂形式,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂
后悬挂形式,多连杆式独立悬挂,多连杆式独立悬挂,多连杆式独立悬挂
转向类型,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式
后制动器类型,通风盘式,通风盘式,通风盘式
驻车制动类型,电子驻车,电子驻车,电子驻车
前轮胎规格尺寸,255/45 R19,255/45 R19,255/35 R21
后轮胎规格尺寸,255/45 R19,255/45 R19,275/35 R21
备胎规格,,,
备胎放置方式,,,
ABS防抱死,●标配,●标配,●标配
制动力分配(EBD/CBC等),●标配,●标配,●标配
刹车辅助(EBA/BA等),●标配,●标配,●标配
牵引力控制(TCS/ASR等),●标配,●标配,●标配
车身稳定系统(ESP/DSC等),●标配,●标配,●标配
主动安全预警系统,●车道偏离预警,●车道偏离预警,●车道偏离预警
主动安全预警系统,●前方碰撞预警,●前方碰撞预警,●前方碰撞预警
主动刹车,●标配,●标配,●标配
并线辅助,●标配,●标配,●标配
车道保持辅助系统,●标配,●标配,●标配
车道居中保持,●标配,●标配,●标配
疲劳驾驶提示,,,
主动式DMS疲劳检测,●标配,●标配,●标配
车内生命体征检测,●标配,●标配,●标配
道路交通标识识别,○选配,○选配,○选配
信号灯识别,○选配,○选配,○选配
夜视系统,,,
前排安全气囊,●主驾驶位,●主驾驶位,●主驾驶位
前排安全气囊,●副驾驶位,●副驾驶位,●副驾驶位
侧安全气囊,●前排,●前排,●前排
侧安全气帘,●标配,●标配,●标配
前排膝部气囊,,,
中央安全气囊,●前排,●前排,●前排
